Date,City,Latitude,Longitude,Temperature (°C),Weather,Panel Type,Mount Type,Tilt (°),Panel Efficiency (%),Solar Irradiance (kWh/m²/day),Output Power (W),Estimated Daily Output (kWh)
3/23/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Ground,15,12,6.65,1.28,25.04
3/24/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Rooftop,25,22,6.78,2.39,25.51
3/24/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Rooftop,25,18,6.78,1.95,25.51
3/24/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Rooftop,25,12,6.78,1.3,25.51
3/24/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Ground,15,22,6.65,2.34,25.04
3/24/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Ground,15,18,6.65,1.91,25.04
3/24/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Ground,15,12,6.65,1.28,25.04
3/25/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Rooftop,25,22,6.78,2.39,25.51
3/25/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Rooftop,25,18,6.78,1.95,25.51
3/25/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Rooftop,25,12,6.78,1.3,25.51
3/25/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Ground,15,22,6.65,2.34,25.04
3/25/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Ground,15,18,6.65,1.91,25.04
3/25/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Ground,15,12,6.65,1.28,25.04
3/26/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Rooftop,25,22,6.78,2.39,25.51
3/26/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Rooftop,25,18,6.78,1.95,25.51
3/26/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Rooftop,25,12,6.78,1.3,25.51
3/26/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Ground,15,22,6.65,2.34,25.04
3/26/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Ground,15,18,6.65,1.91,25.04
3/26/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Ground,15,12,6.65,1.28,25.04
3/27/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Rooftop,25,22,6.78,2.39,25.51
3/27/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Rooftop,25,18,6.78,1.95,25.51
3/27/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Rooftop,25,12,6.78,1.3,25.51
3/27/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Ground,15,22,6.65,2.34,25.04
3/27/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Ground,15,18,6.65,1.91,25.04
3/27/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Ground,15,12,6.65,1.28,25.04
3/28/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Rooftop,25,22,6.78,2.39,25.51
3/28/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Rooftop,25,18,6.78,1.95,25.51
3/28/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Rooftop,25,12,6.78,1.3,25.51
3/28/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Ground,15,22,6.65,2.34,25.04
3/28/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Ground,15,18,6.65,1.91,25.04
3/28/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Ground,15,12,6.65,1.28,25.04
3/29/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Rooftop,25,22,6.78,2.39,25.51
3/29/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Rooftop,25,18,6.78,1.95,25.51
3/29/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Rooftop,25,12,6.78,1.3,25.51
3/29/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Ground,15,22,6.65,2.34,25.04
3/29/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Ground,15,18,6.65,1.91,25.04
3/29/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Ground,15,12,6.65,1.28,25.04
3/30/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Rooftop,25,22,6.78,2.39,25.51
3/30/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Rooftop,25,18,6.78,1.95,25.51
3/30/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Rooftop,25,12,6.78,1.3,25.51
3/30/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Ground,15,22,6.65,2.34,25.04
3/30/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Ground,15,18,6.65,1.91,25.04
3/30/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Ground,15,12,6.65,1.28,25.04
3/31/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Rooftop,25,22,6.78,2.39,25.51
3/31/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Rooftop,25,18,6.78,1.95,25.51
3/31/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Rooftop,25,12,6.78,1.3,25.51
3/31/2024,Riyadh,24.7136,46.6753,25,sunny,Monocrystalline,Ground,15,22,6.65,2.34,25.04
3/31/2024,Riyadh,24.7136,46.6753,25,sunny,Polycrystalline,Ground,15,18,6.65,1.91,25.04
3/31/2024,Riyadh,24.7136,46.6753,25,sunny,Thin-Film,Ground,15,12,6.65,1.28,25.04
4/1/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/1/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/1/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/1/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/1/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/1/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/2/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/2/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/2/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/2/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/2/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/2/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/3/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/3/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/3/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/3/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/3/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/3/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/4/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/4/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/4/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/4/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/4/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/4/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/5/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/5/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/5/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/5/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/5/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/5/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/6/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/6/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/6/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/6/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/6/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/6/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/7/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/7/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/7/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/7/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/7/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/7/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/8/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/8/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/8/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/8/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/8/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/8/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/9/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/9/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/9/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/9/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/9/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/9/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/10/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/10/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/10/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/10/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/10/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/10/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/11/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/11/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/11/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/11/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/11/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/11/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/12/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/12/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/12/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/12/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/12/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/12/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/13/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/13/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/13/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/13/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/13/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/13/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/14/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/14/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/14/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/14/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/14/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/14/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/15/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/15/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/15/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/15/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/15/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/15/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/16/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/16/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/16/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/16/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/16/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/16/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/17/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/17/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/17/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/17/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/17/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/17/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/18/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/18/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/18/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/18/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/18/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/18/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/19/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/19/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/19/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/19/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/19/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/19/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/20/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/20/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/20/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/20/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/20/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/20/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/21/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/21/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/21/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/21/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/21/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/21/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/22/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/22/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/22/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/22/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/22/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/22/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/23/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/23/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/23/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/23/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/23/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/23/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/24/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/24/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/24/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/24/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/24/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/24/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/25/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/25/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/25/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/25/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/25/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/25/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/26/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/26/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/26/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/26/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/26/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/26/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/27/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/27/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/27/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/27/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/27/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/27/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/28/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/28/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/28/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/28/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/28/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/28/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/29/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/29/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/29/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/29/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/29/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/29/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
4/30/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Rooftop,25,22,6.59,2.32,24.52
4/30/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Rooftop,25,18,6.59,1.9,24.52
4/30/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Rooftop,25,12,6.59,1.27,24.52
4/30/2024,Riyadh,24.7136,46.6753,30,clear sky,Monocrystalline,Ground,15,22,6.69,2.36,24.91
4/30/2024,Riyadh,24.7136,46.6753,30,clear sky,Polycrystalline,Ground,15,18,6.69,1.93,24.91
4/30/2024,Riyadh,24.7136,46.6753,30,clear sky,Thin-Film,Ground,15,12,6.69,1.29,24.91
5/1/2024,Riyadh,24.7136,46.6753,35,few clouds,Monocrystalline,Rooftop,25,22,6.73,2.37,24.57
5/1/2024,Riyadh,24.7136,46.6753,35,few clouds,Polycrystalline,Rooftop,25,18,6.73,1.94,24.57
5/1/2024,Riyadh,24.7136,46.6753,35,few clouds,Thin-Film,Rooftop,25,12,6.73,1.29,24.57
5/1/2024,Riyadh,24.7136,46.6753,35,few clouds,Monocrystalline,Ground,15,22,7.03,2.47,25.63
5/1/2024,Riyadh,24.7136,46.6753,35,few clouds,Polycrystalline,Ground,15,18,7.03,2.02,25.63
5/1/2024,Riyadh,24.7136,46.6753,35,few clouds,Thin-Film,Ground,15,12,7.03,1.35,25.63
5/2/2024,Riyadh,24.7136,46.6753,35,few clouds,Monocrystalline,Rooftop,25,22,6.73,2.37,24.57
5/2/2024,Riyadh,24.7136,46.6753,35,few clouds,Polycrystalline,Rooftop,25,18,6.73,1.94,24.57
